grantCode,iso3,geography,geoLevel,status,currency,signedUsd,committedUsd,disbursedUsd,periodStart,periodEnd,sourceUrl,retrievedDate
NMB-202-G03-M-00,NAM,Namibia,Country,Administratively Closed,USD,15841191.93,15841191.93,15841191.93,2005-01-01,2017-12-31,https://data.theglobalfund.org/grant/NMB-202-G03-M-00,2026-08-22
NMB-607-G06-M,NAM,Namibia,Country,Administratively Closed,USD,11024436.76,11024436.76,11024436.76,2007-08-01,2012-07-31,https://data.theglobalfund.org/grant/NMB-607-G06-M,2026-08-22
NPL-202-G02-M-00,NPL,Nepal,Country,Administratively Closed,USD,2438412,2438412,2438412,2004-04-01,2009-09-30,https://data.theglobalfund.org/grant/NPL-202-G02-M-00,2026-08-22
NPL-202-G04-M-00,NPL,Nepal,Country,Administratively Closed,USD,10588713.72,10588713.72,10588713.72,2005-12-01,2011-01-15,https://data.theglobalfund.org/grant/NPL-202-G04-M-00,2026-08-22
NPL-708-G06-M,NPL,Nepal,Country,Administratively Closed,USD,6467229,6467229,6467229,2008-09-16,2011-01-15,https://data.theglobalfund.org/grant/NPL-708-G06-M,2026-08-22
NPL-708-G07-M,NPL,Nepal,Country,Administratively Closed,USD,1659548.94,1659548.94,1659548.94,2008-09-16,2011-01-15,https://data.theglobalfund.org/grant/NPL-708-G07-M,2026-08-22
NPL-M-SCF,NPL,Nepal,Country,In Closure,USD,17930348.53,17930348.53,17930348.53,2015-07-16,2025-01-31,https://data.theglobalfund.org/grant/NPL-M-SCF,2026-08-22
PAK-202-G02-M-00,PAK,Pakistan,Country,Administratively Closed,USD,3537802,3537802,3537802,2004-01-01,2006-03-31,https://data.theglobalfund.org/grant/PAK-202-G02-M-00,2026-08-22
PAK-304-G04-M,PAK,Pakistan,Country,Administratively Closed,USD,1382784,1382784,1382784,2005-01-01,2007-03-31,https://data.theglobalfund.org/grant/PAK-304-G04-M,2026-08-22
PAK-708-G08-M,PAK,Pakistan,Country,Administratively Closed,USD,13092711.44,13092711.44,13092711.44,2008-09-01,2011-08-31,https://data.theglobalfund.org/grant/PAK-708-G08-M,2026-08-22
PAK-M-DOMC,PAK,Pakistan,Country,Active,USD,161729160.01,160834413.6,157817561.47,2011-09-01,2026-12-31,https://data.theglobalfund.org/grant/PAK-M-DOMC,2026-08-22
PAK-M-TIH,PAK,Pakistan,Country,Active,USD,49959452.25,48818212.53,46367363.32,2016-02-01,2026-12-31,https://data.theglobalfund.org/grant/PAK-M-TIH,2026-08-22
PHL-202-G01-M-00,PHL,Philippines,Country,Administratively Closed,USD,12975610.27,12975610.27,12975610.27,2003-08-01,2011-10-31,https://data.theglobalfund.org/grant/PHL-202-G01-M-00,2026-08-22
PHL-202-G09-M,PHL,Philippines,Country,Administratively Closed,USD,40834213.13,40834213.13,40834213.13,2010-01-01,2014-12-31,https://data.theglobalfund.org/grant/PHL-202-G09-M,2026-08-22
PHL-506-G05-M,PHL,Philippines,Country,Administratively Closed,USD,12618028.52,12618028.52,12618028.52,2006-06-01,2011-05-31,https://data.theglobalfund.org/grant/PHL-506-G05-M,2026-08-22
PHL-607-G07-M,PHL,Philippines,Country,Administratively Closed,USD,13310106.9,13310106.9,13310106.9,2007-10-01,2012-09-30,https://data.theglobalfund.org/grant/PHL-607-G07-M,2026-08-22
PHL-M-PSFI,PHL,Philippines,Country,Active,USD,39653464.3,38850926.17,38350710.78,2015-01-01,2026-12-31,https://data.theglobalfund.org/grant/PHL-M-PSFI,2026-08-22
PKS-M-SC,PAK,Pakistan,Country,Terminated,USD,8025856.6,8025856.6,8025856.6,2011-09-01,2015-06-30,https://data.theglobalfund.org/grant/PKS-M-SC,2026-08-22
PNG-304-G01-M,PNG,Papua New Guinea,Country,Administratively Closed,USD,16217350.81,16217350.81,16217350.81,2004-08-01,2009-07-31,https://data.theglobalfund.org/grant/PNG-304-G01-M,2026-08-22
PNG-809-G04-M,PNG,Papua New Guinea,Country,Administratively Closed,USD,9948208.74,9948208.74,9948208.74,2009-11-01,2012-01-31,https://data.theglobalfund.org/grant/PNG-809-G04-M,2026-08-22
PNG-809-G05-M,PNG,Papua New Guinea,Country,Administratively Closed,USD,18168375.75,18168375.75,18168375.75,2009-11-01,2015-03-31,https://data.theglobalfund.org/grant/PNG-809-G05-M,2026-08-22
PNG-809-G06-M,PNG,Papua New Guinea,Country,Administratively Closed,USD,47906786.22,47906786.22,47906786.22,2009-11-01,2015-03-31,https://data.theglobalfund.org/grant/PNG-809-G06-M,2026-08-22
PNG-812-G08-M,PNG,Papua New Guinea,Country,Administratively Closed,USD,15304752.14,15304752.14,15304752.14,2012-02-01,2015-03-31,https://data.theglobalfund.org/grant/PNG-812-G08-M,2026-08-22
PNG-M-PSI,PNG,Papua New Guinea,Country,Administratively Closed,USD,13804281.37,13804281.37,13804281.37,2015-04-01,2017-12-31,https://data.theglobalfund.org/grant/PNG-M-PSI,2026-08-22
PNG-M-RAM,PNG,Papua New Guinea,Country,Active,USD,115739213.68,114643842.66,111316655.5,2015-04-01,2026-12-31,https://data.theglobalfund.org/grant/PNG-M-RAM,2026-08-22
PRK-810-G01-M,PRK,Korea (Democratic Peoples Republic),Country,Administratively Closed,USD,25133852.28,25133852.28,25133852.28,2010-03-01,2015-02-28,https://data.theglobalfund.org/grant/PRK-810-G01-M,2026-08-22
PRK-M-UNICEF,PRK,Korea (Democratic Peoples Republic),Country,Administratively Closed,USD,10217962.97,10217962.97,10217962.97,2015-03-01,2018-03-31,https://data.theglobalfund.org/grant/PRK-M-UNICEF,2026-08-22
PRY-M-OIM,PRY,Paraguay,Country,Administratively Closed,USD,2782935.98,2782935.98,2782935.98,2016-01-01,2018-12-31,https://data.theglobalfund.org/grant/PRY-M-OIM,2026-08-22
QMG-M-PSI,MCEMMIE,Multicountry Americas EMMIE,Multicountry,Administratively Closed,USD,9738873.6,9738873.6,9738873.6,2014-01-01,2017-12-31,https://data.theglobalfund.org/grant/QMG-M-PSI,2026-08-22
QMJ-507-G05-M,MCWP,Multicountry Western Pacific,Multicountry,Administratively Closed,USD,26691380.64,26691380.64,26691380.64,2007-07-01,2015-06-30,https://data.theglobalfund.org/grant/QMJ-507-G05-M,2026-08-22
QNB-102-G01-M-00,QNB,Zanzibar,Subnational,Administratively Closed,USD,1153080,1153080,1153080,2003-06-01,2006-11-30,https://data.theglobalfund.org/grant/QNB-102-G01-M-00,2026-08-22
QNB-404-G04-M,QNB,Zanzibar,Subnational,Administratively Closed,USD,8027954.76,8027954.76,8027954.76,2005-01-01,2009-06-30,https://data.theglobalfund.org/grant/QNB-404-G04-M,2026-08-22
QNB-M-MoH,QNB,Zanzibar,Subnational,Active,USD,25365458.04,24892686.17,24689222.4,2015-10-01,2026-12-31,https://data.theglobalfund.org/grant/QNB-M-MoH,2026-08-22
QPA-506-G02-M,MCRMCC,Multicountry Africa (RMCC),Multicountry,Administratively Closed,USD,6501140.84,6501140.84,6501140.84,2006-07-01,2008-12-31,https://data.theglobalfund.org/grant/QPA-506-G02-M,2026-08-22
QPA-M-E8S,MCE8,Multicountry Southern Africa E8,Multicountry,In Closure,USD,42287116.88,42287116.88,42287116.88,2015-10-01,2024-09-30,https://data.theglobalfund.org/grant/QPA-M-E8S,2026-08-22
QPA-M-LSDI,MCMOSASWA,Multicountry Southern Africa MOSASWA,Multicountry,Active,USD,93126472.67,76453630.26,75783468.11,2017-01-01,2028-12-31,https://data.theglobalfund.org/grant/QPA-M-LSDI,2026-08-22
QRA-M-IDB,MCEMMIE,Multicountry Americas EMMIE,Multicountry,In Closure,USD,9038520,9038520,9038520,2018-01-01,2023-12-31,https://data.theglobalfund.org/grant/QRA-M-IDB,2026-08-22
QRD-305-G01-M,MCANDEAN,Multicountry Americas (Andean),Multicountry,Administratively Closed,USD,23776914,23776914,23776914,2005-10-01,2010-09-30,https://data.theglobalfund.org/grant/QRD-305-G01-M,2026-08-22
QSE-M-UNOPS,MCRAI,Multicountry East Asia and Pacific RAI,Multicountry,In Closure,USD,660322617.51,636053708.77,632938843.31,2026-04-13,2029-12-31,https://data.theglobalfund.org/grant/QSE-M-UNOPS,2026-08-22
QUA-202-G02-M-00,MCWP,Multicountry Western Pacific,Multicountry,Administratively Closed,USD,4175007.55,4175007.55,4175007.55,2003-07-01,2007-06-30,https://data.theglobalfund.org/grant/QUA-202-G02-M-00,2026-08-22
QUA-506-G04-M,MCWP,Multicountry Western Pacific,Multicountry,Administratively Closed,USD,2361908,2361908,2361908,2006-07-01,2007-06-30,https://data.theglobalfund.org/grant/QUA-506-G04-M,2026-08-22
QUA-M-UNDP,MCWP,Multicountry Western Pacific,Multicountry,Active,USD,8960354.68,8914917.53,8810514.53,2015-07-01,2026-12-31,https://data.theglobalfund.org/grant/QUA-M-UNDP,2026-08-22
RWA-304-G03-M,RWA,Rwanda,Country,Administratively Closed,USD,42289910,42289910,42289910,2004-10-01,2013-09-30,https://data.theglobalfund.org/grant/RWA-304-G03-M,2026-08-22
RWA-506-G06-M,RWA,Rwanda,Country,Administratively Closed,USD,39115935.59,39115935.59,39115935.59,2006-03-01,2009-08-31,https://data.theglobalfund.org/grant/RWA-506-G06-M,2026-08-22
RWA-809-G10-M,RWA,Rwanda,Country,Administratively Closed,USD,50615262,50615262,50615262,2009-07-01,2011-06-30,https://data.theglobalfund.org/grant/RWA-809-G10-M,2026-08-22
RWA-M-MOH,RWA,Rwanda,Country,Active,USD,232051596,223974964,221467806,2015-01-01,2027-06-30,https://data.theglobalfund.org/grant/RWA-M-MOH,2026-08-22
RWN-M-MoH,RWA,Rwanda,Country,Administratively Closed,USD,77326821,77326821,77326821,2011-07-01,2014-12-31,https://data.theglobalfund.org/grant/RWN-M-MoH,2026-08-22
SDN-202-G03-M-00,SDN,Sudan,Country,Administratively Closed,USD,29777690.48,29777690.48,29777690.48,2005-04-01,2009-09-30,https://data.theglobalfund.org/grant/SDN-202-G03-M-00,2026-08-22
SDN-M-MOH,SDN,Sudan,Country,In Closure,USD,234075506.71,234075506.71,234075506.71,2017-09-18,2023-07-30,https://data.theglobalfund.org/grant/SDN-M-MOH,2026-08-22
SDN-M-UNDP,SDN,Sudan,Country,Active,USD,112256666.69,112256666.69,112256666.69,2015-04-01,2017-12-31,https://data.theglobalfund.org/grant/SDN-M-UNDP,2026-08-22
SDN-M-UNICEF,SDN,Sudan,Country,Active,USD,105524398,105524397.22,103821875.69,2024-02-07,2026-12-31,https://data.theglobalfund.org/grant/SDN-M-UNICEF,2026-08-22
SEN-102-G02-M-00,SEN,Senegal,Country,Administratively Closed,USD,1526770,1526770,1526770,2003-04-01,2005-05-31,https://data.theglobalfund.org/grant/SEN-102-G02-M-00,2026-08-22
SEN-405-G03-M,SEN,Senegal,Country,Administratively Closed,USD,21475451.83,21475451.83,21475451.83,2005-09-01,2014-08-30,https://data.theglobalfund.org/grant/SEN-405-G03-M,2026-08-22
SEN-708-G07-M,SEN,Senegal,Country,Administratively Closed,USD,22020725.19,22020725.19,22020725.19,2008-06-01,2011-12-31,https://data.theglobalfund.org/grant/SEN-708-G07-M,2026-08-22
SEN-M-IntraH,SEN,Senegal,Country,Administratively Closed,USD,14720513.93,14720513.93,14720513.93,2015-01-01,2017-12-31,https://data.theglobalfund.org/grant/SEN-M-IntraH,2026-08-22
SEN-M-PNLP,SEN,Senegal,Country,In Closure,USD,58723489.64,58723489.64,58903260.38,2015-01-01,2020-12-31,https://data.theglobalfund.org/grant/SEN-M-PNLP,2026-08-22
SLB-M-MHMS,SLB,Solomon Islands,Country,In Closure,USD,18563792.9,15534240.98,15454977.12,2015-01-01,2023-12-31,https://data.theglobalfund.org/grant/SLB-M-MHMS,2026-08-22
SLE-405-G03-M,SLE,Sierra Leone,Country,Administratively Closed,USD,6956097,6956097,6956097,2005-06-01,2007-05-31,https://data.theglobalfund.org/grant/SLE-405-G03-M,2026-08-22
SLE-708-G05-M,SLE,Sierra Leone,Country,Administratively Closed,USD,12317290.2,12317290.2,12317290.2,2008-05-01,2011-07-31,https://data.theglobalfund.org/grant/SLE-708-G05-M,2026-08-22
SLE-M-CRS,SLE,Sierra Leone,Country,In Closure,USD,18952461.11,18952461.11,18952461.11,2011-08-01,2021-06-30,https://data.theglobalfund.org/grant/SLE-M-CRS,2026-08-22
SLE-M-MOHS,SLE,Sierra Leone,Country,Administratively Closed,USD,32913824.95,32913824.95,32913824.95,2011-08-01,2016-12-31,https://data.theglobalfund.org/grant/SLE-M-MOHS,2026-08-22
SLV-M-MOH,SLV,El Salvador,Country,Administratively Closed,USD,1855321.47,1855321.47,1855321.47,2017-01-01,2020-06-30,https://data.theglobalfund.org/grant/SLV-M-MOH,2026-08-22
SNG-M-IH,SEN,Senegal,Country,Administratively Closed,USD,9520569.82,9520569.82,9520569.82,2012-01-01,2014-12-31,https://data.theglobalfund.org/grant/SNG-M-IH,2026-08-22
SNG-M-PNLP,SEN,Senegal,Country,Administratively Closed,USD,38322140.84,38322140.84,38322140.84,2012-01-01,2014-12-31,https://data.theglobalfund.org/grant/SNG-M-PNLP,2026-08-22
SOM-012-G07-M,SOM,Somalia,Country,Administratively Closed,USD,33858579.67,33858579.67,33858579.67,2012-04-01,2015-06-30,https://data.theglobalfund.org/grant/SOM-012-G07-M,2026-08-22
SOM-202-G01-M-00,SOM,Somalia,Country,Administratively Closed,USD,12764941.09,12764941.09,12764941.09,2004-07-01,2007-08-31,https://data.theglobalfund.org/grant/SOM-202-G01-M-00,2026-08-22
SOM-607-G04-M,SOM,Somalia,Country,Administratively Closed,USD,22645500.15,22645500.15,22645500.15,2007-11-01,2012-10-31,https://data.theglobalfund.org/grant/SOM-607-G04-M,2026-08-22
SOM-M-UNICEF,SOM,Somalia,Country,Active,USD,160825538.08,158440506.52,156858238.09,2015-07-01,2026-12-31,https://data.theglobalfund.org/grant/SOM-M-UNICEF,2026-08-22
SRL-102-G02-M-00,LKA,Sri Lanka,Country,Administratively Closed,USD,4396338.62,4396338.62,4396338.62,2003-03-01,2009-08-31,https://data.theglobalfund.org/grant/SRL-102-G02-M-00,2026-08-22
SRL-809-G10-M,LKA,Sri Lanka,Country,Administratively Closed,USD,11528684.23,11528684.23,11528684.23,2009-10-01,2015-12-31,https://data.theglobalfund.org/grant/SRL-809-G10-M,2026-08-22
SRL-809-G12-M,LKA,Sri Lanka,Country,Administratively Closed,USD,5373567.38,5373567.38,5373567.38,2009-10-01,2014-09-30,https://data.theglobalfund.org/grant/SRL-809-G12-M,2026-08-22
SSD-202-G01-M-00,SSD,South Sudan,Country,Administratively Closed,USD,24830057.59,24830057.59,24830057.59,2004-10-01,2010-09-30,https://data.theglobalfund.org/grant/SSD-202-G01-M-00,2026-08-22
SSD-708-G09-M,SSD,South Sudan,Country,Administratively Closed,USD,55333134,55333134,55333134,2008-12-01,2011-12-31,https://data.theglobalfund.org/grant/SSD-708-G09-M,2026-08-22
